Country,Year,Phase,Trials
USA,2010,Phase 1,18
USA,2010,Phase 2,16
USA,2010,Phase 3,9
USA,2010,Phase 4,22
USA,2011,Phase 1,14
USA,2011,Phase 2,3
USA,2011,Phase 3,11
USA,2011,Phase 4,9
USA,2012,Phase 1,9
USA,2012,Phase 2,11
USA,2012,Phase 3,19
USA,2012,Phase 4,18
USA,2013,Phase 1,14
USA,2013,Phase 2,7
USA,2013,Phase 3,12
USA,2013,Phase 4,9
USA,2014,Phase 1,7
USA,2014,Phase 2,9
USA,2014,Phase 3,11
USA,2014,Phase 4,12
USA,2015,Phase 1,14
USA,2015,Phase 2,10
USA,2015,Phase 3,5
USA,2015,Phase 4,15
USA,2016,Phase 1,11
USA,2016,Phase 2,5
USA,2016,Phase 3,16
USA,2016,Phase 4,18
USA,2017,Phase 1,5
USA,2017,Phase 2,11
USA,2017,Phase 3,17
USA,2017,Phase 4,6
USA,2018,Phase 1,18
USA,2018,Phase 2,10
USA,2018,Phase 3,12
USA,2018,Phase 4,16
USA,2019,Phase 1,15
USA,2019,Phase 2,16
USA,2019,Phase 3,9
USA,2019,Phase 4,11
USA,2020,Phase 1,5
USA,2020,Phase 2,22
USA,2020,Phase 3,18
USA,2020,Phase 4,19
UK,2010,Phase 1,10
UK,2010,Phase 2,5
UK,2010,Phase 3,15
UK,2010,Phase 4,22
UK,2011,Phase 1,7
UK,2011,Phase 2,13
UK,2011,Phase 3,4
UK,2011,Phase 4,10
UK,2012,Phase 1,6
UK,2012,Phase 2,16
UK,2012,Phase 3,12
UK,2012,Phase 4,6
UK,2013,Phase 1,8
UK,2013,Phase 2,7
UK,2013,Phase 3,18
UK,2013,Phase 4,6
UK,2014,Phase 1,6
UK,2014,Phase 2,14
UK,2014,Phase 3,1
UK,2014,Phase 4,18
UK,2015,Phase 1,15
UK,2015,Phase 2,9
UK,2015,Phase 3,11
UK,2015,Phase 4,15
UK,2016,Phase 1,6
UK,2016,Phase 2,22
UK,2016,Phase 3,16
UK,2016,Phase 4,22
UK,2017,Phase 1,9
UK,2017,Phase 2,19
UK,2017,Phase 3,21
UK,2017,Phase 4,16
UK,2018,Phase 1,13
UK,2018,Phase 2,18
UK,2018,Phase 3,9
UK,2018,Phase 4,15
UK,2019,Phase 1,6
UK,2019,Phase 2,10
UK,2019,Phase 3,3
UK,2019,Phase 4,6
UK,2020,Phase 1,7
UK,2020,Phase 2,14
UK,2020,Phase 3,5
UK,2020,Phase 4,8
Spain,2010,Phase 1,12
Spain,2010,Phase 2,6
Spain,2010,Phase 3,12
Spain,2010,Phase 4,5
Spain,2011,Phase 1,16
Spain,2011,Phase 2,9
Spain,2011,Phase 3,9
Spain,2011,Phase 4,8
Spain,2012,Phase 1,11
Spain,2012,Phase 2,12
Spain,2012,Phase 3,20
Spain,2012,Phase 4,8
Spain,2013,Phase 1,13
Spain,2013,Phase 2,8
Spain,2013,Phase 3,7
Spain,2013,Phase 4,9
Spain,2014,Phase 1,15
Spain,2014,Phase 2,4
Spain,2014,Phase 3,10
Spain,2014,Phase 4,8
Spain,2015,Phase 1,17
Spain,2015,Phase 2,17
Spain,2015,Phase 3,20
Spain,2015,Phase 4,5
Spain,2016,Phase 1,9
Spain,2016,Phase 2,13
Spain,2016,Phase 3,8
Spain,2016,Phase 4,15
Spain,2017,Phase 1,10
Spain,2017,Phase 2,5
Spain,2017,Phase 3,8
Spain,2017,Phase 4,6
Spain,2018,Phase 1,7
Spain,2018,Phase 2,7
Spain,2018,Phase 3,18
Spain,2018,Phase 4,10
Spain,2019,Phase 1,19
Spain,2019,Phase 2,5
Spain,2019,Phase 3,14
Spain,2019,Phase 4,8
Spain,2020,Phase 1,8
Spain,2020,Phase 2,17
Spain,2020,Phase 3,11
Spain,2020,Phase 4,18
Germany,2010,Phase 1,17
Germany,2010,Phase 2,14
Germany,2010,Phase 3,11
Germany,2010,Phase 4,17
Germany,2011,Phase 1,16
Germany,2011,Phase 2,22
Germany,2011,Phase 3,7
Germany,2011,Phase 4,10
Germany,2012,Phase 1,7
Germany,2012,Phase 2,4
Germany,2012,Phase 3,17
Germany,2012,Phase 4,14
Germany,2013,Phase 1,18
Germany,2013,Phase 2,7
Germany,2013,Phase 3,3
Germany,2013,Phase 4,17
Germany,2014,Phase 1,13
Germany,2014,Phase 2,7
Germany,2014,Phase 3,3
Germany,2014,Phase 4,17
Germany,2015,Phase 1,4
Germany,2015,Phase 2,14
Germany,2015,Phase 3,14
Germany,2015,Phase 4,12
Germany,2016,Phase 1,11
Germany,2016,Phase 2,23
Germany,2016,Phase 3,6
Germany,2016,Phase 4,8
Germany,2017,Phase 1,20
Germany,2017,Phase 2,4
Germany,2017,Phase 3,7
Germany,2017,Phase 4,6
Germany,2018,Phase 1,14
Germany,2018,Phase 2,17
Germany,2018,Phase 3,7
Germany,2018,Phase 4,10
Germany,2019,Phase 1,19
Germany,2019,Phase 2,6
Germany,2019,Phase 3,13
Germany,2019,Phase 4,12
Germany,2020,Phase 1,8
Germany,2020,Phase 2,8
Germany,2020,Phase 3,7
Germany,2020,Phase 4,7
France,2010,Phase 1,13
France,2010,Phase 2,16
France,2010,Phase 3,10
France,2010,Phase 4,11
France,2011,Phase 1,20
France,2011,Phase 2,13
France,2011,Phase 3,17
France,2011,Phase 4,1
France,2012,Phase 1,18
France,2012,Phase 2,7
France,2012,Phase 3,17
France,2012,Phase 4,11
France,2013,Phase 1,22
France,2013,Phase 2,17
France,2013,Phase 3,12
France,2013,Phase 4,20
France,2014,Phase 1,16
France,2014,Phase 2,15
France,2014,Phase 3,11
France,2014,Phase 4,12
France,2015,Phase 1,6
France,2015,Phase 2,7
France,2015,Phase 3,7
France,2015,Phase 4,12
France,2016,Phase 1,18
France,2016,Phase 2,7
France,2016,Phase 3,6
France,2016,Phase 4,25
France,2017,Phase 1,18
France,2017,Phase 2,21
