,Gender,Unnamed: 1,Male,Female,Total,completion_month_year,year,year2,phase,Published paper,Published paper  YN,Published result in clicnicaltrials,others,R/O,official_title,source,source.1,intervention_names,Age eligible for study,Lowe limit of age < 18,Age upper limit,Age code upper limit,Study population,Country,Continent,Is there an extension study
0,"NCT01079351, NCT01128959",Lee 2015,95,108,203,,1900,3,,,n,,,O,"A Sequential, Open-Label Study of the Pharmacokinetics and Safety of Intravenous Carbamazepine Relative to Oral Carbamazepine in Adult Patients With Epilepsy",Lundbeck LLC,1,Intravenous Carbamazepine,18 years and older,n,nil,>/75,United States of America,1,North America,n
1,NCT00236730,Faught 1996,143,38,181,12/1/1990,1990,3,Phase 2,1,y,n,open label extension study data not recorded as not available,R,Double-Blind Parallel Comparison of Three Doses of Topiramate and Placebo in Refractory Partial Epilepsy,"Johnson & Johnson Pharmaceutical Research & Development, L.L.C.",1,topiramate,18-65,n,65,65-<75,United States of America,1,North America,Y
2,NCT00236691,,152,38,190,12/1/1990,1990,3,Phase 2,0,n,y,,R,"Double-Blind, Parallel Comparison of Three Doses of Topiramate and Placebo in Refractory Partial Epilepsy","Johnson & Johnson Pharmaceutical Research & Development, L.L.C.",1,topiramate,18-65,n,65,65-<75,United States of America,1,North America,N
3,NCT00236860,Ben-Menachem 1996,47,9,56,2/1/1992,1992,3,Phase 2,1,y,n,,R,Double-Blind Parallel Comparison of Topiramate 400 mg Twice Daily to Placebo in Patients With Refractory Partial Epilepsy,"Johnson & Johnson Pharmaceutical Research & Development, L.L.C.",1,topiramate,18-65,n,65,65-<75,Sweden,3,Europe,N
3,NCT00236860,Ben-Menachem 1996,47,9,56,2/1/1992,1992,3,Phase 2,1,y,n,,R,Double-Blind Parallel Comparison of Topiramate 400 mg Twice Daily to Placebo in Patients With Refractory Partial Epilepsy,"Johnson & Johnson Pharmaceutical Research & Development, L.L.C.",1,topiramate,18-65,n,65,65-<75,Norway,3,Europe,N
3,NCT00236860,Ben-Menachem 1996,47,9,56,2/1/1992,1992,3,Phase 2,1,y,n,,R,Double-Blind Parallel Comparison of Topiramate 400 mg Twice Daily to Placebo in Patients With Refractory Partial Epilepsy,"Johnson & Johnson Pharmaceutical Research & Development, L.L.C.",1,topiramate,18-65,n,65,65-<75,Denmark,3,Europe,N
3,NCT00236860,Ben-Menachem 1996,47,9,56,2/1/1992,1992,3,Phase 2,1,y,n,,R,Double-Blind Parallel Comparison of Topiramate 400 mg Twice Daily to Placebo in Patients With Refractory Partial Epilepsy,"Johnson & Johnson Pharmaceutical Research & Development, L.L.C.",1,topiramate,18-65,n,65,65-<75,Germany,3,Europe,N
4,NCT00236873,Sharief 1996,40,7,47,5/1/1993,1993,3,Phase 2,1,y,n,,R,Double-Blind Parallel Comparison of Topiramate 200 mg Twice Daily to Placebo in Patients With Refractory Partial Epilepsy,"Johnson & Johnson Pharmaceutical Research & Development, L.L.C.",1,topiramate,18-65,n,65,65-<75,Sweden,3,Europe,N
4,NCT00236873,Sharief 1996,40,7,47,5/1/1993,1993,3,Phase 2,1,y,n,,R,Double-Blind Parallel Comparison of Topiramate 200 mg Twice Daily to Placebo in Patients With Refractory Partial Epilepsy,"Johnson & Johnson Pharmaceutical Research & Development, L.L.C.",1,topiramate,18-65,n,65,65-<75,Spain,3,Europe,N
4,NCT00236873,Sharief 1996,40,7,47,5/1/1993,1993,3,Phase 2,1,y,n,,R,Double-Blind Parallel Comparison of Topiramate 200 mg Twice Daily to Placebo in Patients With Refractory Partial Epilepsy,"Johnson & Johnson Pharmaceutical Research & Development, L.L.C.",1,topiramate,18-65,n,65,65-<75,United Kingdom of Great Britain and Northern Ireland,3,Europe,N
